sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
For Americans to fail to grasp the significance of these developments is to invite greater and more unpleasant surprises than we ' ve had so far ,1,5,grasp,verb,Seize and hold firmly.,she grasped the bottle
"'' I privately examined this company 's ability to deal with Japanese equities , and secretly induced the Ministry of Finance to focus on this point , '' says Mr. Miyoda ",1,3,examine,verb,Inspect (someone or something) thoroughly in order to determine their nature or condition.,a doctor examined me and said I might need a caesarean
"The 18-year - old Las Vegan , the new darling of the net set , took Stadium Court at the U.S. Open tennis tournament here Wednesday morning against Philip Johnson , an unseeded and heretofore unheeded scuffler from Georgia , and , truth to tell , did n't knock him dead ",1,48,knock,verb,"Strike a surface noisily to attract attention, especially when waiting to be let in through a door.",he strolled over and knocked on a door marked Enquiries
"It held open houses for prospective investors at the mine , where large amounts of rock were dug and ground up , filtered and washed , then melted in a furnace and '' poured into what were represented to be precious - metal blocks , shaped like pyramids , '' according to the criminal indictment filed against Mr. Barbara and four others in state court in Las Cruces , N.M ",1,27,melt,verb,Make or become liquefied by heat.,the hot metal melted the wax
"While earnings from exploration and production were lackluster , the companies nonetheless stuck with plans to sharply increase spending in those areas ",1,12,stick,verb,Push a sharp or pointed object into or through (something),he stuck his fork into the sausage
The Salk vaccine is composed of killed polio virus ,1,6,kill,verb,"Cause the death of (a person, animal, or other living thing)",her father was killed in a car crash
"'' We 're not attacking the core assets ; we 're looking at what we consider to be our less - profitable assets , '' the spokesman said ",1,4,attack,verb,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun
Mr. Hauke '' is looking for a much more costly repair that is nonstandard and would knock the price beyond the the { $ 500 } limit for a buy - back . ',1,16,knock,verb,"Strike a surface noisily to attract attention, especially when waiting to be let in through a door.",he strolled over and knocked on a door marked Enquiries
"Mr. Reagan 's speech was designed to kick off a triumphant final year in office , but a new poll suggests that his standing in public opinion has n't recovered from the dive it took after the disclosure of the Iran - Contra affair ",1,7,kick,verb,Strike or propel forcibly with the foot.,I kicked the ball up into the air
"A bomb would have required '' a bribable '' Pakistani soldier or officer to plant it , an administration official said ",1,14,plant,verb,"Put (a seed, bulb, or plant) in the ground so that it can grow.",we planted a lot of fruit trees
"'' The hot weather just about melted him away , '' Mr. Corbett says with a sigh ",1,6,melt,verb,Make or become liquefied by heat.,the hot metal melted the wax
"One man who felt the brunt of Mr. Atwater 's tactics is liberal Thomas Turnipseed , whose bid for Congress was effectively destroyed when Mr. Atwater surreptitiously revived a three - year - old story about the Democrat 's psychiatric treatment for depression as a young man ",1,22,destroy,verb,End the existence of (something) by damaging or attacking it.,the room had been destroyed by fire
"A synthetic version , prepared by means of recombinant DNA , is to be given in an intravenous infusion in the hope that flooding the body with false targets would mop up virus particles and prevent them from infecting cells of the body ",1,23,flood,verb,Cover or submerge (an area) with water in a flood.,"the dam burst, flooding a small town"
"As simple as that sounds , Joseph Duffy , the assistant U.S. attorney in charge of the case , will have a tough time proving the charges to a federal court jury without also putting the panel to sleep ",1,38,sleep,verb,Be in a state of sleep; be asleep.,she slept for half an hour
"And so it is on the grounds of insufficient candor that the resourceful Mr. Goldman , hot to debunk , attacks his subject ",1,20,attack,verb,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun
"After years of being out of work and on welfare , many of the unemployed now lack the ability or initiative to fill openings ",1,22,fill,verb,Cause (a space or container) to become full or almost full.,I filled the bottle with water
"In the market , he sticks with winning positions no longer than three or four days and tries to bail out of losers in minutes -- hours at most ",1,5,stick,verb,Push a sharp or pointed object into or through (something),he stuck his fork into the sausage
"The Soviet leader gave vent to his criticism of Washington 's policies in general toward Moscow , which he described as filled with contradictions ",1,21,fill,verb,Cause (a space or container) to become full or almost full.,I filled the bottle with water
"Electronic Data Systems President Alberthal struck back at the firm 's founder , H. Ross Perot , saying the Texas billionaire 's verbal and business attacks hurt the company ",1,5,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
"That point was rammed home during his recent visit to Siberia , where he was flooded with complaints about awful living standards , a lack of basic foodstuffs and bureaucrats who were blocking improvements ",1,15,flood,verb,Cover or submerge (an area) with water in a flood.,"the dam burst, flooding a small town"
The new Clore - backed directors viewed their counterparts as stodgy pillars of the San Francisco establishment who failed to grasp KaiserTech 's financial quandary ,1,20,grasp,verb,Seize and hold firmly.,she grasped the bottle
Mr. Wyss of Data Resources suggested that factories may be having difficulty hiring new workers at a time of such low unemployment or may simply not be able to absorb as many new workers as they would like ,1,29,absorb,verb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
"Also , our regulatory conceptions would suggest monetary - policy tools of the European central bank be designed so that they enabled effective targeting of the monetary variables without recourse to quantitative controls -LRB- or other direct interventions in financial markets -RRB- ",1,7,target,verb,Select as an object of attention or attack.,two men were targeted by the attackers
"'' We do n't know which he painted first , the deformity or the sweep of her flowing hair , '' he says firmly ",1,17,flow,verb,"(of a liquid, gas, or electricity) move steadily and continuously in a current or stream.",from here the river flows north
"U.S. drug agents estimate that about 40 % of all the cocaine and marijuana pouring into America comes through the Bahamas ; of that , at times as much as half may have been run through Bimini , agents say ",1,14,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
"And he scored the highest - charting guitar instrumental album in a dozen years when his '' Surfing With the Alien , '' released on the independent Relativity label , rode into Billboard 's Top Thirty ",1,30,ride,verb,"Sit on and control the movement of (an animal, typically a horse)",Jane and Rory were riding their ponies
Strike two is when I ca n't sleep ,1,7,sleep,verb,Be in a state of sleep; be asleep.,she slept for half an hour
"The Japanese government is still reeling from U.S. accusations last summer that MITI dragged its feet in investigating the shipment by the Toshiba unit , Toshiba Machine Co . , of sophisticated milling machines to a Soviet shipyard in 1983 and 1984 ",1,13,drag,verb,"Pull (someone or something) along forcefully, roughly, or with difficulty.",we dragged the boat up the beach
"The problem it would confront is those last decades -LRB- 2030 - 2050 -RRB- of the scenario , when the surplus melts away to zero ",1,21,melt,verb,Make or become liquefied by heat.,the hot metal melted the wax
"When mixed with the blood of infected people , CBre3 sticks to the antibodies , causing a visually observable reaction ",1,10,stick,verb,Push a sharp or pointed object into or through (something),he stuck his fork into the sausage
"Domestic private consumption has been eating up about $ 3 billion or more a year , even during the war ",1,5,eat,verb,Put (food) into the mouth and chew and swallow it.,he was eating a hot dog
It knocked out electricity and communication services ,1,1,knock,verb,"Strike a surface noisily to attract attention, especially when waiting to be let in through a door.",he strolled over and knocked on a door marked Enquiries
"The U.S. and Pakistan long had sought such a '' front - loading '' of the agreement to ensure that the Soviets do n't reap the political benefits of beginning a withdrawal , and then drag their feet in carrying it out ",1,35,drag,verb,"Pull (someone or something) along forcefully, roughly, or with difficulty.",we dragged the boat up the beach
The scenes two weeks ago of ordinary people in Krasnoyarsk verbally assaulting Mikhail Gorbachev because of the shortage of goods in the shops reflect how deep popular disappointment is over the results of '' perestroika '' thus far ,1,11,assault,verb,Make a physical attack on.,he pleaded guilty to assaulting a police officer
"As the first issue was rolling off the press , Mr. McGovern threw a party in Moscow and eagerly leafed through the magazine ",1,5,roll,verb,Move in a particular direction by turning over and over on an axis.,the car rolled down into a ditch
Mr. Brooks tape - recorded one of the men present at the meeting saying that he believes Indians ritualistically kill and mutilate one another ,1,19,kill,verb,"Cause the death of (a person, animal, or other living thing)",her father was killed in a car crash
"And his initial hesitancy about the endeavor has evaporated completely , to be replaced by what might be called historical perspective ",1,8,evaporate,verb,Turn from liquid into vapour.,cook until most of the liquid has evaporated
I can see the memos flying from one faceless bureaucrat to another ,1,5,fly,verb,"(of a bird, bat, or insect) move through the air using wings.",close the door or the moths will fly in
Dealers reported that the Bank of England intervened to smooth the pound 's rise as it hit an intraday high of $ 1.8850 ,1,9,smooth,verb,"Give (something) a flat, regular surface or appearance.",she smoothed out the newspaper
"'' You could n't give the shares away if you tried , '' adds Vahid Fathi , an analyst with Prescott , Ball & Turben Inc. Mr. Munk himself recalls , '' I had many people kick me out . '",1,36,kick,verb,Strike or propel forcibly with the foot.,I kicked the ball up into the air
Cautious bureaucrats drag their feet while progressive colleagues and scientists urge reform ,1,2,drag,verb,"Pull (someone or something) along forcefully, roughly, or with difficulty.",we dragged the boat up the beach
He also attacked a House panel for disclosing at least three pending SEC inquiries ,1,2,attack,verb,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun
'' I ' m quite sure there was someone within the IBM structure that could have just reached in and fixed it . ',1,20,fix,verb,Fasten (something) securely in a particular place or position.,they had candles fixed to their helmets
"Wayne Prospect , a Long Island legislator who favored a public takeover , said , '' We had a choice of either accepting economic blackmail or rolling the dice on Shoreham . '",1,26,roll,verb,Move in a particular direction by turning over and over on an axis.,the car rolled down into a ditch
"The whole , rotting campaign - law edifice -- excepting the required disclosure of contributors -- should be struck down before it further damages the political process ",1,18,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
But some marketing consultants see signs that the 1980s new - product boom is cooling a bit ,1,14,cool,verb,Become or make less hot.,we dived into the river to cool off
"The firm 's list also targets several truly out - of - favor stocks , namely Primerica , the financial - services concern , and retailers Dayton Hudson and Zayre ",1,5,target,verb,Select as an object of attention or attack.,two men were targeted by the attackers
"Mr. Schnittke is also a composer of extremes , and in the new Fourth Piano Sonata he has Mr. Feltsman achieving kinetic climaxes at the highest and lowest registers simultaneously , the pianist 's arms widely extended and lunging at the piano like a hawk attacking his prey ",1,45,attack,verb,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun
"In recent years , Drexel has poured far more resources into areas such as high - yield , '' junk '' bonds , merger and acquisition advice and mortgage - backed securities ",1,6,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
"One is in Lebanon 's Bekaa Valley , that melting pot of radical Palestinians , Iranians , Libyan and Syrian intelligence officers and Shiite terrorists ",1,9,melt,verb,Make or become liquefied by heat.,the hot metal melted the wax
"Thousands of delegates and reporters start pouring into the OMNI , soon to be featured in a Japanese horror movie with large flying insects winging out of the pods where Dan Rather and Peter Jennings are fighting the battle of the bores ",1,6,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
He is laboriously filling out the cash - flow statement his bank requires for a spring - planting loan ,1,3,fill,verb,Cause (a space or container) to become full or almost full.,I filled the bottle with water
"Re your page - one story '' To Mark Year 2000 , Some Events Will Be Out of This World , '' June 27 : I 'd hate to pour water on anybody 's millennial observance , but 2000 is the last year of the 20th century ",1,29,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
"And Mr. Karnes , a political unknown selected by GOP Gov. Kay Orr to fill a Senate vacancy created by the death of Edward Zorinsky 18 months ago , is followed by the shadow of his rival wherever he goes ",1,14,fill,verb,Cause (a space or container) to become full or almost full.,I filled the bottle with water
"It has rained only an inch and a half since January , and most of that came in sprinkles that quickly sizzled back into the air as soon as they hit the burning ground ",1,2,rain,verb,Rain falls.,it was beginning to rain
"As a longtime trade - association executive in the petroleum industry , I have seen scores of upper - level managers grab the brass ring of early retirement ",1,21,grab,verb,Grasp or seize suddenly and roughly.,she grabbed him by the shirt collar
"As a regional brand , however , Stokely already ca n't come close to matching the dollars that both the biggies pour into advertising and trade promotion ",1,21,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
"The low point was around 1978 - 1982 , when the bases could have been knocked out quite easily ",1,15,knock,verb,"Strike a surface noisily to attract attention, especially when waiting to be let in through a door.",he strolled over and knocked on a door marked Enquiries
The U.S. side was angry that talks were dragging ,1,8,drag,verb,"Pull (someone or something) along forcefully, roughly, or with difficulty.",we dragged the boat up the beach
The last clatterings of a standing ovation die down ,1,7,die,verb,"(of a person, animal, or plant) stop living.",he died of tuberculosis
Agreement was reached that an initiative to roll back and cap property taxes should be placed on the November ballot ,1,7,roll,verb,Move in a particular direction by turning over and over on an axis.,the car rolled down into a ditch
"Designers there have n't any intention of flooding the U.S. with Siberia - made , scratchy woolen socks or a line of apres - bowling wear ",1,7,flood,verb,Cover or submerge (an area) with water in a flood.,"the dam burst, flooding a small town"
"A JETLINER CRASHED at Dallas - Fort Worth Airport , killing 13 people ",1,10,kill,verb,"Cause the death of (a person, animal, or other living thing)",her father was killed in a car crash
"Adm. Hayward 's case , which has escaped public notice since it started in 1985 , is n't part of the current nationwide investigation of Pentagon corruption and bid - rigging ",1,7,escape,verb,Break free from confinement or control.,two burglars have just escaped from prison
"More than $ 5 million is being poured into this year 's campaign , political insiders estimate , making it a hugely expensive municipal debate ",1,7,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
"'' But I was n't marrying them or sleeping with them , and it did n't mean I wanted to have dinner with them . '",1,8,sleep,verb,Be in a state of sleep; be asleep.,she slept for half an hour
"As previously reported , First RepublicBank Dallas had an unusually steep $ 600 million drop in average deposits one week last month after a rating service downgraded its deposit quality and reports that federal regulators stepped up scrutiny of the ailing banking concern ",1,35,step,verb,Lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position.,Claudia tried to step back
"Jaime Rosenthal said he was stepping down as President Azcona 's economic adviser , but staying on as vice president ",1,5,step,verb,Lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position.,Claudia tried to step back
"The international Food Court , serving up a melting pot of fast food , approximates a municipal park ",1,8,melt,verb,Make or become liquefied by heat.,the hot metal melted the wax
"'' Within a few years , we 're either going to see parents paying significantly higher tuition rates for good - quality care , or there 's going to be no coverage at all and child care is going to evaporate . '",1,40,evaporate,verb,Turn from liquid into vapour.,cook until most of the liquid has evaporated
"Industry watchers respect Genentech for pumping such a large chunk of capital into its basic science program , and for preserving its enviable scientific edge , but the investment is n't expected to yield products for several years ",1,5,pump,verb,"Force (liquid, gas, etc.) to move by or as if by means of a pump.",the blood is pumped around the body
"It happens every year , says Dusty Saunders of the Rocky Mountain News , in Denver : Reporters put in long and weary days on the tour only to have their editors spot them drinking beer with a starlet on TV ",1,34,drink,verb,Take (a liquid) into the mouth and swallow.,"we sat by the fire, drinking our tea"
"As the wifely paragon sits , waiting and weaving , you nearly go to sleep the piece is so static ",1,14,sleep,verb,Be in a state of sleep; be asleep.,she slept for half an hour
Now the suspense is killing ,1,4,kill,verb,"Cause the death of (a person, animal, or other living thing)",her father was killed in a car crash
"If his style after the strikes of last May indicates anything , Gen. Jaruzelski has n't absorbed that ",1,16,absorb,verb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
France was drowning in wheat and it needed to get wheat out of warehouses ,1,2,drown,verb,Die through submersion in and inhalation of water.,a motorist drowned when her car plunged off the edge of a quay
"If she had not been struck , as a woman , by the grotesque exudations streaming from the temporal glands and four - foot , S - shaped penises of certain adult male elephants , would she have been led to identify this '' disease '' as musth , the sexual frenzy of male estrus never before documented in African elephants ",1,5,strike,verb,Hit forcibly and deliberately with one's hand or a weapon or other implement.,"he raised his hand, as if to strike me"
I beg the tribunal to understand that my zeal did not flow from sympathy with the goals or behavior of most of my clients ,1,11,flow,verb,"(of a liquid, gas, or electricity) move steadily and continuously in a current or stream.",from here the river flows north
"I have authored a bill to implement community - based gang violence intervention programs that would target elementary and junior high schools most affected by gang violence , providing job training , family and individual counseling and other techniques to limit the appeal of gangs and to teach vulnerable youngsters not to need to depend on drugs or gangs ",1,16,target,verb,Select as an object of attention or attack.,two men were targeted by the attackers
There are truths of which we shall remain unaware forever because we do n't have the intelligence to grasp them ,1,18,grasp,verb,Seize and hold firmly.,she grasped the bottle
"Among the tantrums he admits : heaving a faulty phone across the control room , kicking in a TV screen to force NBC to buy a new one , and assaulting construction workers who were too noisy during taping ",1,15,kick,verb,Strike or propel forcibly with the foot.,I kicked the ball up into the air
"He fails to properly grasp the nature of the frontier culture , and only superficially understands the dilemma of the native people ",1,4,grasp,verb,Seize and hold firmly.,she grasped the bottle
"The spokesman said , however , that the plane was transmitting an identifying signal usually associated with civilian aircraft when a U.S. cruiser fired two missiles and killed all 290 aboard ",1,27,kill,verb,"Cause the death of (a person, animal, or other living thing)",her father was killed in a car crash
"With parents now demanding improvements , the states obviously are n't waiting for the next presidential election to get the ball rolling in the right direction ",1,21,roll,verb,Move in a particular direction by turning over and over on an axis.,the car rolled down into a ditch
He just might dance into the 1990s ,1,3,dance,verb,"Move rhythmically to music, typically following a set sequence of steps.",their cheeks were pressed together as they danced
"If Europe should be a region where merchandise moves freely , why should n't people flow freely ",1,15,flow,verb,"(of a liquid, gas, or electricity) move steadily and continuously in a current or stream.",from here the river flows north
"'' Sure there 's clutter , but I find it easy to ignore , '' says the film maker , his glasses resting , per usual , on his bald pate ",1,22,rest,verb,"Cease work or movement in order to relax, sleep, or recover strength.",he needed to rest after the feverish activity
"Those objections quickly evaporated after the university sophomore , who declared herself '' proud to be a Thai woman , '' was named the pageant 's winner ",1,3,evaporate,verb,Turn from liquid into vapour.,cook until most of the liquid has evaporated
"But mindful of Daedalus 's brash son , Icarus , who flew too close to the sun , melted his wings and fell fatally to the sea , they carefully avoid hubris ",1,18,melt,verb,Make or become liquefied by heat.,the hot metal melted the wax
"And he still knows how to grab an audience : Yesterday , he made people sit up with his announcement of a $ 225 million offer for Resorts International Inc . , although it was rejected within hours ",1,6,grab,verb,Grasp or seize suddenly and roughly.,she grabbed him by the shirt collar
Mr. Icahn is already pouring money into his effort to fight Texaco 's plan ,1,4,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
"To cloak their activities , they knock out lights in elevators and stairwells ",1,6,knock,verb,"Strike a surface noisily to attract attention, especially when waiting to be let in through a door.",he strolled over and knocked on a door marked Enquiries
"Three new funds targeted toward Japanese , Asian and European investors will prompt a fresh influx of foreign cash into the Thai stock market ",1,3,target,verb,Select as an object of attention or attack.,two men were targeted by the attackers
It is time these escapist myths are put to rest ,1,9,rest,verb,"Cease work or movement in order to relax, sleep, or recover strength.",he needed to rest after the feverish activity
"A plot has taken over St. Louis , from which no citizen , not the city 's ghetto slumlords nor its CEOs , can escape ",1,24,escape,verb,Break free from confinement or control.,two burglars have just escaped from prison
Mr. Kessler said : '' The market was so nervous and so short dollars that a panic set in and everybody started stepping over each other to buy their dollars back . ',1,22,step,verb,Lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position.,Claudia tried to step back
"In early adulthood , she stuck with the Democratic Party , joining the protests for civil rights in the South ",1,5,stick,verb,Push a sharp or pointed object into or through (something),he stuck his fork into the sausage
But the launch was n't completely smooth ,1,6,smooth,verb,"Give (something) a flat, regular surface or appearance.",she smoothed out the newspaper
"Mr. Bumps steps down and , with a colleague , resumes building the wall the old - fashioned way -- no mortar , no cement , nothing to hold the stones together except the stones themselves ",1,2,step,verb,Lift and set down one's foot or one foot after the other in order to walk somewhere or move to a new position.,Claudia tried to step back
"But in the short - term it will absorb a lot of top management 's energy and attention , '' says Philippe Haspeslagh , a business professor at the European management school , Insead , in Paris ",1,8,absorb,verb,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
"Now , do all of them absorb it and grab it ",1,9,grab,verb,Grasp or seize suddenly and roughly.,she grabbed him by the shirt collar
The bolt and trigger flowed silently and smoothly as a river down its banks ,1,4,flow,verb,"(of a liquid, gas, or electricity) move steadily and continuously in a current or stream.",from here the river flows north
Mr. Davis says he has been flooded with requests for berths on future flights since announcing the October launch ,1,6,flood,verb,Cover or submerge (an area) with water in a flood.,"the dam burst, flooding a small town"
"The summit , therefore , is an important domestic event in Germany , where Mr. Gorbachev has been riding a wave of popularity ",1,18,ride,verb,"Sit on and control the movement of (an animal, typically a horse)",Jane and Rory were riding their ponies
The emotions in it flow between the playwright and his audience ,1,4,flow,verb,"(of a liquid, gas, or electricity) move steadily and continuously in a current or stream.",from here the river flows north
"Six years ago , Mr. Slusher stumbled across Harry Fisher while reading about Medal of Honor winners ",1,6,stumble,verb,Trip or momentarily lose one's balance; almost fall.,her foot caught in the rug and she stumbled
'' Otherwise we will also be attacked . ',1,6,attack,verb,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun
"Excessive rates of income tax destroy enterprise , encourage avoidance , and drive talent to more hospitable shores overseas ",1,5,destroy,verb,End the existence of (something) by damaging or attacking it.,the room had been destroyed by fire
I would sleep better knowing Dan Quayle was in the National Guard than on the national ticket ,1,2,sleep,verb,Be in a state of sleep; be asleep.,she slept for half an hour
It poured into the vacuum created by the collapse of a Keynesian mainstream that had no explanation for simultaneous stagnation and inflation ,1,1,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
But he grasped the potential of putting the two together ,1,2,grasp,verb,Seize and hold firmly.,she grasped the bottle
But it 's another thing to simply pour money into a fiscal black hole ,1,7,pour,verb,Flow rapidly in a steady stream.,water poured off the roof
Can Congress encourage democracy in other countries by flying foreigners here to watch it fight over the budget ,1,8,fly,verb,"(of a bird, bat, or insect) move through the air using wings.",close the door or the moths will fly in
