sentence,label,target_position,target_word,pos_tag,gloss,eg_sent
mount a theater production .,1,0,mount,VERB,"Climb up (stairs, a hill, or other rising surface)",he mounted the steps
Make the people 's hearts glow .,1,5,glow,VERB,Give out steady light without flame.,the tips of their cigarettes glowed in the dark
The candidate ripped into his opponent mercilessly .,1,2,ripped,VERB,Tear or pull (something) quickly or forcibly away from something or someone.,a fan tried to rip his trousers off during a show
the government digested the entire law into a code .,1,2,digested,VERB,Break down (food) in the alimentary canal into substances that can be absorbed and used by the body.,"In terms of the western view of digestion , food is digested in the stomach and passed on to the small intestines where the nutrients in the food are absorbed and distributed to all tissues and cells of the body through the blood circulation ."
The editors of the left - leaning paper attacked the new House Speaker .,1,8,attacked,VERB,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun
He absorbed the knowledge or beliefs of his tribe .,1,1,absorbed,VERB,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
A rash erupted on her arms after she had touched the exotic plant .,1,2,erupted,VERB,"(of a volcano) become active and eject lava, ash, and gases.",Mount Pinatubo began erupting in June
She could not recapture that feeling of happiness .,1,3,recapture,VERB,Capture (a person or animal that has escaped),armed police have recaptured a prisoner who 's been on the run for five days
he buzzed the servant .,1,1,buzzed,VERB,"Make a low, continuous humming sound.",mosquitoes were buzzing all around us
nagging concerns and doubts .,1,0,nagging,VERB,Harass (someone) constantly to do something that they are averse to.,she constantly nags her daughter about getting married
Actions talk louder than words .,1,1,talk,VERB,Speak in order to give information or express ideas or feelings; converse or communicate by spoken words.,the two men talked
The company dumped him after many years of service .,1,2,dumped,VERB,"Deposit or dispose of (rubbish, waste, or unwanted material), typically in a careless or hurried way.","trucks dumped 1,900 tons of refuse here"
The bus thundered down the road .,1,2,thundered,VERB,Thunder sounds.,it began to thunder
This vaccine will guard you against infection .,1,3,guard,VERB,Watch over in order to protect or control.,two men were left to guard the stockade
lay the foundation for a new health care plan .,1,0,lay,VERB,Put (something) down gently or carefully.,she laid the baby in his cot
People were pouring out of the theater .,1,2,pouring,VERB,Flow rapidly in a steady stream.,water poured off the roof
They taxed him failure to appear in court .,1,1,taxed,VERB,Impose a tax on (someone or something),the income will be taxed at the top rate
The news were leaked to the paper .,1,3,leaked,VERB,"(of a container or covering) accidentally lose or admit contents, especially liquid or gas, through a hole or crack.",the roof leaked
The sales tax is absorbed into the state income tax .,1,4,absorbed,VERB,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat
Suspense was building right from the beginning of the opera .,1,2,building,VERB,Construct (something) by putting parts or material together.,the ironworks were built in 1736
The Senator blistered the administration in his speech on Friday .,1,2,blistered,VERB,Form blisters on the skin or other surface.,the surface of the door began to blister
The heat scorched the countryside .,1,2,scorched,VERB,Burn the surface of (something) with flame or heat.,surrounding houses were scorched by heat from the blast
The book portrays the actor as a selfish person .,1,2,portrays,VERB,Depict (someone or something) in a work of art or literature.,the ineffectual Oxbridge dons portrayed by Evelyn Waugh
The politician clawed his rival .,1,2,clawed,VERB,Scratch or tear something with the claws or the fingernails.,the kitten was clawing at Lowell 's trouser leg
The Senator steamrollered the bill to defeat .,1,2,steamrollered,VERB,(of a government or other authority) forcibly pass (a measure) by restricting debate or otherwise overriding opposition.,the government 's trying to steamroller a law through
The steering of my new car answers to the slightest touch .,1,6,answers,VERB,Say or write something as a reaction to someone or something.,"‘ Of course I can , ’ she answered"
The problem roots in her depression .,1,2,roots,VERB,Cause (a plant or cutting) to grow roots.,root your own cuttings from stock plants
The government floated the ruble for a few months .,1,2,floated,VERB,Rest or move on or near the surface of a liquid without sinking.,"she relaxed , floating gently in the water"
sorrow had lined his face .,1,2,lined,VERB,Stand or be positioned at intervals along.,a processional route lined by people waving flags
They topped off their dinner with a cognac .,1,1,topped,VERB,"Exceed (an amount, level, or number); be more than.",losses are expected to top £100 m this year
The river thundered below .,1,2,thundered,VERB,Thunder sounds.,it began to thunder
The conversation gravitated towards politics .,1,2,gravitated,VERB,Move towards or be attracted to a person or thing.,young western Europeans will gravitate to Berlin
This office is buzzing with activity .,1,3,buzzing,VERB,"Make a low, continuous humming sound.",mosquitoes were buzzing all around us
Inheritance may not ascend linearly .,1,3,ascend,VERB,Go up or climb.,she ascended the stairs
The mother drinks in every word of her son on the stage .,1,2,drinks,VERB,Take (a liquid) into the mouth and swallow.,"we sat by the fire , drinking our tea"
The dancer floated across the stage .,1,2,floated,VERB,Rest or move on or near the surface of a liquid without sinking.,"she relaxed , floating gently in the water"
His lack of interest in the project reflects badly on him .,1,7,reflects,VERB,"(of a surface or body) throw back (heat, light, or sound) without absorbing it.",when the sun 's rays hit the Earth a lot of the heat is reflected back into space
Interns have to rotate for a few months .,1,3,rotate,VERB,Move or cause to move in a circle round an axis or centre.,the wheel continued to rotate
he flashed a $ 100 bill .,1,1,flashed,VERB,"Shine in a bright but brief, sudden, or intermittent way.",lightning flashed overhead
Her optimism whistled away these worries .,1,2,whistled,VERB,"Emit a clear, high-pitched sound by forcing breath through a small hole between one's lips or teeth.",the audience cheered and whistled
The professor plunged his students into the study of the Italian text .,1,2,plunged,VERB,Jump or dive quickly and energetically.,our little daughters whooped as they plunged into the sea
The bad review of his work deflated his self - confidence .,1,6,deflated,VERB,"Let air or gas out of (a tyre, balloon, or similar object)",he deflated one of the tyres
The cold pierced her bones .,1,2,pierced,VERB,(of a sharp pointed object) go into or through (something),a splinter had pierced the skin
He breathed new life into the old house .,1,1,breathed,VERB,"Take air into the lungs and then expel it, especially as a regular physiological process.",she was breathing deeply
The latest intelligence is flashed to all command posts .,1,4,flashed,VERB,"Shine in a bright but brief, sudden, or intermittent way.",lightning flashed overhead
She had to recast her image to please the electorate in her home state .,1,3,recast,VERB,Give (a metal object) a different form by melting it down and reshaping it.,"in 1919 , the bells were recast"
The invaders spread their language all over the country .,1,2,spread,VERB,"Open out (something) so as to extend its surface area, width, or length.",I spread a towel on the sand and sat down
Industry will stagnate if we do not stimulate our economy .,1,2,stagnate,VERB,(of water or air) cease to flow or move; become stagnant.,"Pointed out was the fact that due to the closure of these sluice gates there was no flow of water , resulting in water stagnating in the khazan lands ."
Hundreds of actors were melting into the scene .,1,4,melting,VERB,Make or become liquefied by heat.,the hot metal melted the wax
The salesman is aggressively pushing the new computer model .,1,4,pushing,VERB,Exert force on (someone or something) in order to move them away from oneself.,she pushed her glass towards him
Sales were climbing after prices were lowered .,1,2,climbing,VERB,Go or come up a (slope or staircase); ascend.,we began to climb the hill
She was crushed by his refusal of her invitation .,1,2,crushed,VERB,"Compress or squeeze forcefully so as to break, damage, or distort in shape.",the front of his car was crushed in the collision
He showered her with presents .,1,1,showered,VERB,(of a mass of small things) fall or be thrown in a shower.,bits of broken glass showered over me
Their faces were clouded with sadness .,1,3,clouded,VERB,(of the sky) become overcast or gloomy.,the blue skies clouded over abruptly
The moon glared back at itself from the lake 's surface .,1,2,glared,VERB,Stare in an angry or fierce way.,"she glared at him , her cheeks flushing"
Her husband often abuses alcohol .,1,3,abuses,VERB,Use (something) to bad effect or for a bad purpose; misuse.,the judge abused his power by imposing the fines
She radiates happiness .,1,1,radiates,VERB,"Emit (energy, especially light or heat) in the form of rays or waves.",the hot stars radiate energy
The critics puffed up this Broadway production .,1,2,puffed,VERB,Breathe in repeated short gasps.,exercises that make you puff
When does the court of law sit ?,1,6,sit,VERB,Adopt or be in a position in which one's weight is supported by one's buttocks rather than one's feet and one's back is upright.,I sat next to him at dinner
The guy hanging around the school is pushing drugs .,1,7,pushing,VERB,Exert force on (someone or something) in order to move them away from oneself.,she pushed her glass towards him
The scream pierced the night .,1,2,pierced,VERB,(of a sharp pointed object) go into or through (something),a splinter had pierced the skin
One can never fully repair the suffering and losses of the Jews in the Third Reich .,1,4,repair,VERB,"Restore (something damaged, faulty, or worn) to a good condition.",faulty electrical appliances should be repaired by an electrician
She stuffed herself at the dinner .,1,1,stuffed,VERB,Fill (a receptacle or space) tightly with something.,an old teapot stuffed full of cash
Sales were climbing after prices were lowered .,1,2,climbing,VERB,Go or come up a (slope or staircase); ascend.,we began to climb the hill
The prisoners are safely pounded .,1,4,pounded,VERB,Strike or hit heavily and repeatedly.,Patrick pounded the couch with his fists
Our new synthetic fabric breathes and is perfect for summer wear .,1,4,breathes,VERB,"Take air into the lungs and then expel it, especially as a regular physiological process.",she was breathing deeply
The champagne flowed at the wedding .,1,2,flowed,VERB,"(of a liquid, gas, or electricity) move steadily and continuously in a current or stream.",from here the river flows north
a terrible stench saluted our nostrils .,1,3,saluted,VERB,Make a formal salute to.,do n't you usually salute a superior officer ?
His heart palpitated .,1,2,palpitated,VERB,"(of the heart) beat rapidly, strongly, or irregularly.",his heart was palpitating and his palms sweated
My skin crawled -- I was terrified .,1,2,crawled,VERB,Move forward on the hands and knees or by dragging the body close to the ground.,they crawled from under the table
These big jets are tied to large airports .,1,4,tied,VERB,Attach or fasten with string or similar cord.,they tied Max to a chair
He heaped him with work .,1,1,heaped,VERB,A great deal.,‘ How do you like Maggie ? ’ ‘ I like you heaps better ! ’
Every star seemed to flare with new intensity .,1,4,flare,VERB,Burn or shine with a sudden intensity.,the bonfire crackled and flared up
My personal feelings color my judgment in this case .,1,3,color,VERB,"Change the colour of (something) by painting, dyeing, or shading it.",he coloured her hair with a selection of blonde and brown shades
The speech crowned the meeting .,1,2,crowned,VERB,Ceremonially place a crown on the head of (someone) in order to invest them as a monarch.,he went to Rome to be crowned
The old cheese was crawling with maggots .,1,4,crawling,VERB,Move forward on the hands and knees or by dragging the body close to the ground.,they crawled from under the table
The liberal party pushed for reforms .,1,3,pushed,VERB,Exert force on (someone or something) in order to move them away from oneself.,she pushed her glass towards him
He pasted his opponent .,1,1,pasted,VERB,Coat with paste.,"when coating walls with fabric , paste the wall , not the fabric"
communicate a disease .,1,0,communicate,VERB,"Share or exchange information, news, or ideas.",the prisoner was forbidden to communicate with his family
These events could fracture the balance of power .,1,3,fracture,VERB,Break or cause to break.,the stone has fractured
The tooth erupted and had to be extracted .,1,2,erupted,VERB,"(of a volcano) become active and eject lava, ash, and gases.",Mount Pinatubo began erupting in June
He downed three martinis before dinner .,1,1,downed,VERB,"Towards or in a lower place or position, especially to or on the ground or another surface.",she looked down
Meteors blazed across the atmosphere .,1,1,blazed,VERB,Burn fiercely or brightly.,plumes of smoke rose from fires blazing around the city
the flowers were nodding in the breeze .,1,3,nodding,VERB,"Lower and raise one's head slightly and briefly, especially in greeting, assent, or understanding, or to give someone a signal.",he looked around for support and everyone nodded
"Suddenly , the proprietor emerged from his office .",0,4,emerged,VERB,Move out of or away from something and become visible.,black ravens emerged from the fog
He leaned his rifle against the wall .,0,1,leaned,VERB,Be in or move into a sloping position.,he leaned back in his chair
Our dog sheds every Spring .,0,2,sheds,VERB,Park (a vehicle) in a depot.,the buses were temporarily shedded in that depot
We must acknowledge the kindness she showed towards us .,0,2,acknowledge,VERB,Accept or admit the existence or truth of.,the plight of the refugees was acknowledged by the authorities
Please communicate this message to all employees .,0,1,communicate,VERB,"Share or exchange information, news, or ideas.",the prisoner was forbidden to communicate with his family
Our office is fully computerized now .,0,4,computerized,VERB,"Adapt (a system, device, etc.) to be operated by computer.",he directed the finance department to computerize the entire pension system
The spasm convulses her facial muscles .,0,2,convulses,VERB,"Suffer violent involuntary contraction of the muscles, producing contortion of the body or limbs.","she convulsed , collapsing to the floor with the pain"
She smashed her car against the guard rail .,0,1,smashed,VERB,Violently break (something) into pieces.,the thief smashed a window to get into the car
European children learn the breast stroke ; they often do n't know how to crawl .,0,14,crawl,VERB,Move forward on the hands and knees or by dragging the body close to the ground.,they crawled from under the table
Her violent feelings palpitated the young woman 's heart .,0,3,palpitated,VERB,"(of the heart) beat rapidly, strongly, or irregularly.",his heart was palpitating and his palms sweated
The garbage flushed down the river .,0,2,flushed,VERB,"(of a person's skin, face, etc.) become red and hot, typically as the result of illness or strong emotion.",Rachel flushed angrily
The path ascended to the top of the hill .,0,2,ascended,VERB,Go up or climb.,she ascended the stairs
heap firewood around the fireplace .,0,0,heap,VERB,A great deal.,‘ How do you like Maggie ? ’ ‘ I like you heaps better ! ’
The drug smugglers landed the heroin on the beach of the island .,0,3,landed,VERB,Put (someone or something) on land from a boat.,he landed his troops at Hastings
He never acknowledges his colleagues when they run into him in the hallway .,0,2,acknowledges,VERB,Accept or admit the existence or truth of.,the plight of the refugees was acknowledged by the authorities
He brushed the wall lightly .,0,1,brushed,VERB,Remove (dust or dirt) by sweeping or scrubbing.,we 'll be able to brush the mud off easily
He painted his mistress many times .,0,1,painted,VERB,Cover the surface of (something) with paint.,the ceiling was painted dark grey
This dress fastens in the back .,0,2,fastens,VERB,Close or do up securely.,the tunic was fastened with a row of gilt buttons
The nurse pricked my finger to get a small blood sample .,0,2,pricked,VERB,Make a small hole in (something) with a sharp point; pierce slightly.,prick the potatoes with a fork
Have you stuffed the turkey yet ?,0,2,stuffed,VERB,Fill (a receptacle or space) tightly with something.,an old teapot stuffed full of cash
The nightingale was singing .,0,3,singing,VERB,"Make musical sounds with the voice, especially words with a set tune.",Bella sang to the baby
The cord is all twisted .,0,4,twisted,VERB,"Form into a bent, curling, or distorted shape.",a strip of metal is twisted to form a hollow tube
He peeped at the woman through the window .,0,1,peeped,VERB,"Look quickly and furtively at something, especially through a narrow opening.",his door was ajar and she could n't resist peeping in
male birds tread the females .,0,2,tread,VERB,Walk in a specified way.,Rosa trod as lightly as she could
She was singing while she was cooking .,0,2,singing,VERB,"Make musical sounds with the voice, especially words with a set tune.",Bella sang to the baby
The wind ruffled the surface of the water .,0,2,ruffled,VERB,"Disorder or disarrange (someone's hair), typically by running one's hands through it.",he ruffled her hair affectionately
They computerized the car industry .,0,1,computerized,VERB,"Adapt (a system, device, etc.) to be operated by computer.",he directed the finance department to computerize the entire pension system
She whistled a melody .,0,1,whistled,VERB,"Emit a clear, high-pitched sound by forcing breath through a small hole between one's lips or teeth.",the audience cheered and whistled
Your children have infected you with this head cold .,0,3,infected,VERB,"Affect (a person, organism, etc.) with a disease-causing organism.",pregnant women who may have been infected with the virus
She locked her jewels in the safe .,0,1,locked,VERB,Fasten or secure (something) with a lock.,she closed and locked her desk
She neutralized the solution .,0,1,neutralized,VERB,Make (something) ineffective by applying an opposite force or effect.,impatience at his frailty began to neutralize her fear
This rare Bordeaux must be allowed to breathe for at least 2 hours .,0,7,breathe,VERB,"Take air into the lungs and then expel it, especially as a regular physiological process.",she was breathing deeply
letters trenched into the stone .,0,1,trenched,VERB,Dig a trench or trenches in (the ground),she trenched the terrace to a depth of 6 feet
She poisoned her husband .,0,1,poisoned,VERB,"Administer poison to (a person or animal), either deliberately or accidentally.",someone had tried to poison me
The sun radiates heat .,0,2,radiates,VERB,"Emit (energy, especially light or heat) in the form of rays or waves.",the hot stars radiate energy
Gun shots volleyed at the attackers .,0,2,volleyed,VERB,"(in sport, especially tennis or soccer) strike or kick (the ball) before it touches the ground.",she volleyed the ball home
We can compare the Han dynasty to the Romans .,0,2,compare,VERB,"Estimate, measure, or note the similarity or dissimilarity between.",individual schools compared their facilities with those of others in the area
paste the sign on the wall .,0,0,paste,VERB,Coat with paste.,"when coating walls with fabric , paste the wall , not the fabric"
The pirates raided the coastal villages regularly .,0,2,raided,VERB,Conduct a raid on.,officers raided thirty homes yesterday
sow the ground with sunflower seeds .,0,0,sow,VERB,Plant (seed) by scattering it on or in the earth.,fill a pot with compost and sow a thin layer of seeds on top
The child drowned in the lake .,0,2,drowned,VERB,Die through submersion in and inhalation of water.,a motorist drowned when her car plunged off the edge of a quay
The father is portrayed as a good - looking man in this painting .,0,3,portrayed,VERB,Depict (someone or something) in a work of art or literature.,the ineffectual Oxbridge dons portrayed by Evelyn Waugh
They mounted the aerator on a floating .,0,1,mounted,VERB,"Climb up (stairs, a hill, or other rising surface)",he mounted the steps
answer the telephone .,0,0,answer,VERB,Say or write something as a reaction to someone or something.,"‘ Of course I can , ’ she answered"
negociate securities .,0,0,negociate,VERB,Obtain or bring about by discussion.,he negotiated a new contract with the sellers
The policeman downed the heavily armed suspect .,0,2,downed,VERB,"Towards or in a lower place or position, especially to or on the ground or another surface.",she looked down
this snake swims through the soil where it lives .,0,2,swims,VERB,"Propel the body through water by using the limbs, or (in the case of a fish or other aquatic animal) by using fins, tail, or other bodily movement.",they swam ashore
John compared his haircut to his friend 's .,0,1,compared,VERB,"Estimate, measure, or note the similarity or dissimilarity between.",individual schools compared their facilities with those of others in the area
Drive carefully -- the wet road reflects .,0,6,reflects,VERB,"(of a surface or body) throw back (heat, light, or sound) without absorbing it.",when the sun 's rays hit the Earth a lot of the heat is reflected back into space
This boss abuses his workers .,0,2,abuses,VERB,Use (something) to bad effect or for a bad purpose; misuse.,the judge abused his power by imposing the fines
The bird ruffled its feathers .,0,2,ruffled,VERB,"Disorder or disarrange (someone's hair), typically by running one's hands through it.",he ruffled her hair affectionately
The fishermen tied their flies .,0,2,tied,VERB,Attach or fasten with string or similar cord.,they tied Max to a chair
The two pieces match .,0,3,match,VERB,Correspond or cause to correspond in some essential respect; make or be harmonious.,I thought we 'd have primrose walls to match the bath
The prisoner tugged at the chains .,0,2,tugged,VERB,Pull (something) hard or suddenly.,she tugged off her boots
trench the fallen soldiers .,0,0,trench,VERB,Dig a trench or trenches in (the ground),she trenched the terrace to a depth of 6 feet
her sunglasses reflected his image .,0,2,reflected,VERB,"(of a surface or body) throw back (heat, light, or sound) without absorbing it.",when the sun 's rays hit the Earth a lot of the heat is reflected back into space
Johnson brushed the hairs from his jacket .,0,1,brushed,VERB,Remove (dust or dirt) by sweeping or scrubbing.,we 'll be able to brush the mud off easily
The container leaked gasoline .,0,2,leaked,VERB,"(of a container or covering) accidentally lose or admit contents, especially liquid or gas, through a hole or crack.",the roof leaked
The enemy exploded the bridge .,0,2,exploded,VERB,"Burst or shatter violently and noisily as a result of rapid combustion, excessive internal pressure, or other process.",an ammunition lorry exploded with a roar
T. Boone Pickens raided many large companies .,0,3,raided,VERB,Conduct a raid on.,officers raided thirty homes yesterday
Our basement flooded during the heavy rains .,0,2,flooded,VERB,Cover or submerge (an area) with water in a flood.,"the dam burst , flooding a small town"
The tanker fueled in Bahrain .,0,2,fueled,VERB,"Supply or power (an industrial plant, vehicle, or machine) with fuel.",power stations fuelled by low-grade coal
just steam the vegetables .,0,1,steam,VERB,Give off or produce steam.,a mug of coffee was steaming at her elbow
The stars gravitate towards each other .,0,2,gravitate,VERB,Move towards or be attracted to a person or thing.,young western Europeans will gravitate to Berlin
The rubber ball bounced .,0,3,bounced,VERB,"(with reference to an object, especially a ball) move quickly up, back, or away from a surface after hitting it.",the ball bounced away and he chased it
Age had dulled the surface .,0,2,dulled,VERB,Make or become dull or less intense.,time dulls the memory
The question concerning the meaning of life can not be answered .,0,10,answered,VERB,Say or write something as a reaction to someone or something.,"‘ Of course I can , ’ she answered"
Will this wallpaper adhere to the wall ?,0,3,adhere,VERB,Stick fast to (a surface or substance),paint wo n't adhere well to a greasy surface
relax the tension on the rope .,0,0,relax,VERB,Make or become less tense or anxious.,he relaxed and smiled confidently
engraved the trophy cupt with the winner 's .,0,0,engraved,VERB,Cut or carve (a text or design) on the surface of a hard object.,my name was engraved on the ring
The prince was crowned in Westminster Abbey .,0,3,crowned,VERB,Ceremonially place a crown on the head of (someone) in order to invest them as a monarch.,he went to Rome to be crowned
He communicated his anxieties to the psychiatrist .,0,1,communicated,VERB,"Share or exchange information, news, or ideas.",the prisoner was forbidden to communicate with his family
He trenched his military camp .,0,1,trenched,VERB,Dig a trench or trenches in (the ground),she trenched the terrace to a depth of 6 feet
